NAME.x,Census_Tract.x,County.x,State.x,tract_short,tract_uid,ntaname,Year,Population,Italian,Prop
"Census Tract 373, Bronx County, New York",Census Tract 373,Bronx County,New York,373,2373,East Tremont,2012,4785,76,0.015882968
"Census Tract 374, Bronx County, New York",Census Tract 374,Bronx County,New York,374,2374,Williamsbridge-Olinville,2012,3130,9,0.002875399
"Census Tract 375.04, Bronx County, New York",Census Tract 375.04,Bronx County,New York,375.04,2375.04,East Tremont,2012,4464,34,0.007616487
"Census Tract 376, Bronx County, New York",Census Tract 376,Bronx County,New York,376,2376,Williamsbridge-Olinville,2012,2696,18,0.006676558
"Census Tract 378, Bronx County, New York",Census Tract 378,Bronx County,New York,378,2378,Williamsbridge-Olinville,2012,3215,18,0.005598756
"Census Tract 379, Bronx County, New York",Census Tract 379,Bronx County,New York,379,2379,Mount Hope,2012,5342,11,0.002059154
"Census Tract 380, Bronx County, New York",Census Tract 380,Bronx County,New York,380,2380,Williamsbridge-Olinville,2012,4102,140,0.034129693
"Census Tract 381, Bronx County, New York",Census Tract 381,Bronx County,New York,381,2381,Mount Hope,2012,5923,30,0.005065001
"Census Tract 382, Bronx County, New York",Census Tract 382,Bronx County,New York,382,2382,Williamsbridge-Olinville,2012,2578,20,0.007757952
"Census Tract 383.01, Bronx County, New York",Census Tract 383.01,Bronx County,New York,383.01,2383.01,Fordham South,2012,4726,87,0.018408802
"Census Tract 383.02, Bronx County, New York",Census Tract 383.02,Bronx County,New York,383.02,2383.02,Fordham South,2012,5171,0,0
"Census Tract 385, Bronx County, New York",Census Tract 385,Bronx County,New York,385,2385,Claremont-Bathgate,2012,4535,21,0.00463065
"Census Tract 386, Bronx County, New York",Census Tract 386,Bronx County,New York,386,2386,Eastchester-Edenwald-Baychester,2012,7579,1,1.32e-4
"Census Tract 387, Bronx County, New York",Census Tract 387,Bronx County,New York,387,2387,Belmont,2012,2781,166,0.059690759
"Census Tract 388, Bronx County, New York",Census Tract 388,Bronx County,New York,388,2388,Williamsbridge-Olinville,2012,2902,0,0
"Census Tract 389, Bronx County, New York",Census Tract 389,Bronx County,New York,389,2389,Belmont,2012,5153,527,0.102270522
"Census Tract 390, Bronx County, New York",Census Tract 390,Bronx County,New York,390,2390,Williamsbridge-Olinville,2012,3058,45,0.0147155
"Census Tract 391, Bronx County, New York",Census Tract 391,Bronx County,New York,391,2391,Belmont,2012,6833,312,0.045660764
"Census Tract 392, Bronx County, New York",Census Tract 392,Bronx County,New York,392,2392,Williamsbridge-Olinville,2012,1758,25,0.014220705
"Census Tract 393, Bronx County, New York",Census Tract 393,Bronx County,New York,393,2393,Belmont,2012,7247,292,0.040292535
"Census Tract 394, Bronx County, New York",Census Tract 394,Bronx County,New York,394,2394,Williamsbridge-Olinville,2012,4502,88,0.019546868
"Census Tract 395, Bronx County, New York",Census Tract 395,Bronx County,New York,395,2395,Claremont-Bathgate,2012,3564,0,0
"Census Tract 396, Bronx County, New York",Census Tract 396,Bronx County,New York,396,2396,Williamsbridge-Olinville,2012,3767,18,0.004778338
"Census Tract 397, Bronx County, New York",Census Tract 397,Bronx County,New York,397,2397,Belmont,2012,3769,975,0.258689308
"Census Tract 398, Bronx County, New York",Census Tract 398,Bronx County,New York,398,2398,Williamsbridge-Olinville,2012,2844,0,0
"Census Tract 399.01, Bronx County, New York",Census Tract 399.01,Bronx County,New York,399.01,2399.01,Bedford Park-Fordham North,2012,5106,11,0.002154328
"Census Tract 399.02, Bronx County, New York",Census Tract 399.02,Bronx County,New York,399.02,2399.02,Bedford Park-Fordham North,2012,4581,60,0.013097577
"Census Tract 401, Bronx County, New York",Census Tract 401,Bronx County,New York,401,2401,Bedford Park-Fordham North,2012,5307,8,0.001507443
"Census Tract 403.02, Bronx County, New York",Census Tract 403.02,Bronx County,New York,403.02,2403.02,Bedford Park-Fordham North,2012,3566,28,0.007851935
"Census Tract 403.03, Bronx County, New York",Census Tract 403.03,Bronx County,New York,403.03,2403.03,Van Cortlandt Village,2012,4092,27,0.00659824
"Census Tract 403.04, Bronx County, New York",Census Tract 403.04,Bronx County,New York,403.04,2403.04,Van Cortlandt Village,2012,3996,39,0.00975976
"Census Tract 404, Bronx County, New York",Census Tract 404,Bronx County,New York,404,2404,Williamsbridge-Olinville,2012,2894,16,0.00552868
"Census Tract 405.01, Bronx County, New York",Census Tract 405.01,Bronx County,New York,405.01,2405.01,Bedford Park-Fordham North,2012,4131,0,0
"Census Tract 405.02, Bronx County, New York",Census Tract 405.02,Bronx County,New York,405.02,2405.02,Bedford Park-Fordham North,2012,6061,13,0.002144861
"Census Tract 406, Bronx County, New York",Census Tract 406,Bronx County,New York,406,2406,Williamsbridge-Olinville,2012,3109,21,0.006754583
"Census Tract 407.01, Bronx County, New York",Census Tract 407.01,Bronx County,New York,407.01,2407.01,Van Cortlandt Village,2012,3667,0,0
"Census Tract 407.02, Bronx County, New York",Census Tract 407.02,Bronx County,New York,407.02,2407.02,Bedford Park-Fordham North,2012,6600,188,0.028484848
"Census Tract 408, Bronx County, New York",Census Tract 408,Bronx County,New York,408,2408,Williamsbridge-Olinville,2012,4247,2,4.71e-4
"Census Tract 409, Bronx County, New York",Census Tract 409,Bronx County,New York,409,2409,Van Cortlandt Village,2012,3840,48,0.0125
"Census Tract 411, Bronx County, New York",Census Tract 411,Bronx County,New York,411,2411,Bedford Park-Fordham North,2012,2722,79,0.029022777
"Census Tract 413, Bronx County, New York",Census Tract 413,Bronx County,New York,413,2413,Bedford Park-Fordham North,2012,7697,123,0.015980252
"Census Tract 414, Bronx County, New York",Census Tract 414,Bronx County,New York,414,2414,Woodlawn-Wakefield,2012,5561,140,0.025175328
"Census Tract 415, Bronx County, New York",Census Tract 415,Bronx County,New York,415,2415,Bedford Park-Fordham North,2012,5624,370,0.065789474
"Census Tract 418, Bronx County, New York",Census Tract 418,Bronx County,New York,418,2418,Woodlawn-Wakefield,2012,3964,0,0
"Census Tract 419, Bronx County, New York",Census Tract 419,Bronx County,New York,419,2419,Norwood,2012,6257,15,0.002397315
"Census Tract 420, Bronx County, New York",Census Tract 420,Bronx County,New York,420,2420,Williamsbridge-Olinville,2012,3563,80,0.022452989
"Census Tract 421, Bronx County, New York",Census Tract 421,Bronx County,New York,421,2421,Norwood,2012,5958,42,0.007049345
"Census Tract 422, Bronx County, New York",Census Tract 422,Bronx County,New York,422,2422,Williamsbridge-Olinville,2012,3340,158,0.047305389
"Census Tract 423, Bronx County, New York",Census Tract 423,Bronx County,New York,423,2423,Norwood,2012,4199,62,0.01476542
"Census Tract 424, Bronx County, New York",Census Tract 424,Bronx County,New York,424,2424,Williamsbridge-Olinville,2012,2810,37,0.01316726
"Census Tract 425, Bronx County, New York",Census Tract 425,Bronx County,New York,425,2425,Norwood,2012,7226,213,0.029476889
"Census Tract 426, Bronx County, New York",Census Tract 426,Bronx County,New York,426,2426,Woodlawn-Wakefield,2012,7605,23,0.003024326
"Census Tract 428, Bronx County, New York",Census Tract 428,Bronx County,New York,428,2428,Woodlawn-Wakefield,2012,2176,22,0.010110294
"Census Tract 429.01, Bronx County, New York",Census Tract 429.01,Bronx County,New York,429.01,2429.01,Norwood,2012,3186,38,0.011927181
"Census Tract 429.02, Bronx County, New York",Census Tract 429.02,Bronx County,New York,429.02,2429.02,Norwood,2012,3751,66,0.017595308
"Census Tract 430, Bronx County, New York",Census Tract 430,Bronx County,New York,430,2430,Woodlawn-Wakefield,2012,3172,61,0.019230769
"Census Tract 431, Bronx County, New York",Census Tract 431,Bronx County,New York,431,2431,Norwood,2012,10640,219,0.020582707
"Census Tract 434, Bronx County, New York",Census Tract 434,Bronx County,New York,434,2434,Woodlawn-Wakefield,2012,3670,72,0.019618529
"Census Tract 435, Bronx County, New York",Census Tract 435,Bronx County,New York,435,2435,park-cemetery-etc-Bronx,2012,12,0,0
"Census Tract 436, Bronx County, New York",Census Tract 436,Bronx County,New York,436,2436,Woodlawn-Wakefield,2012,2073,0,0
"Census Tract 442, Bronx County, New York",Census Tract 442,Bronx County,New York,442,2442,Woodlawn-Wakefield,2012,4128,50,0.012112403
"Census Tract 444, Bronx County, New York",Census Tract 444,Bronx County,New York,444,2444,Woodlawn-Wakefield,2012,3686,81,0.021975041
"Census Tract 448, Bronx County, New York",Census Tract 448,Bronx County,New York,448,2448,Woodlawn-Wakefield,2012,2448,50,0.020424837
"Census Tract 449.01, Bronx County, New York",Census Tract 449.01,Bronx County,New York,449.01,2449.01,Woodlawn-Wakefield,2012,1708,121,0.070843091
"Census Tract 449.02, Bronx County, New York",Census Tract 449.02,Bronx County,New York,449.02,2449.02,Woodlawn-Wakefield,2012,2085,214,0.10263789
"Census Tract 451.01, Bronx County, New York",Census Tract 451.01,Bronx County,New York,451.01,2451.01,Woodlawn-Wakefield,2012,1668,203,0.121702638
"Census Tract 451.02, Bronx County, New York",Census Tract 451.02,Bronx County,New York,451.02,2451.02,Woodlawn-Wakefield,2012,1861,256,0.137560451
"Census Tract 456, Bronx County, New York",Census Tract 456,Bronx County,New York,456,2456,Eastchester-Edenwald-Baychester,2012,3375,244,0.072296296
"Census Tract 458, Bronx County, New York",Census Tract 458,Bronx County,New York,458,2458,Eastchester-Edenwald-Baychester,2012,6255,68,0.010871303
"Census Tract 460, Bronx County, New York",Census Tract 460,Bronx County,New York,460,2460,Eastchester-Edenwald-Baychester,2012,3012,9,0.002988048
"Census Tract 462.01, Bronx County, New York",Census Tract 462.01,Bronx County,New York,462.01,2462.01,Co-op City,2012,26908,625,0.023227293
"Census Tract 462.02, Bronx County, New York",Census Tract 462.02,Bronx County,New York,462.02,2462.02,Co-op City,2012,8027,54,0.006727295
"Census Tract 1, Bronx County, New York",Census Tract 1,Bronx County,New York,1,21,Rikers Island,2012,9741,107,0.010984499
"Census Tract 2, Bronx County, New York",Census Tract 2,Bronx County,New York,2,22,Soundview-Castle Hill-Clason Point-Harding Park,2012,4734,112,0.02365864
"Census Tract 4, Bronx County, New York",Census Tract 4,Bronx County,New York,4,24,Soundview-Castle Hill-Clason Point-Harding Park,2012,5211,27,0.005181347
"Census Tract 16, Bronx County, New York",Census Tract 16,Bronx County,New York,16,216,Soundview-Castle Hill-Clason Point-Harding Park,2012,5127,52,0.010142383
"Census Tract 19, Bronx County, New York",Census Tract 19,Bronx County,New York,19,219,Mott Haven-Port Morris,2012,2420,29,0.011983471
"Census Tract 20, Bronx County, New York",Census Tract 20,Bronx County,New York,20,220,Soundview-Castle Hill-Clason Point-Harding Park,2012,8523,29,0.003402558
"Census Tract 23, Bronx County, New York",Census Tract 23,Bronx County,New York,23,223,Mott Haven-Port Morris,2012,4779,13,0.002720234
"Census Tract 24, Bronx County, New York",Census Tract 24,Bronx County,New York,24,224,park-cemetery-etc-Bronx,2012,0,0,0
"Census Tract 25, Bronx County, New York",Census Tract 25,Bronx County,New York,25,225,Mott Haven-Port Morris,2012,4785,0,0
"Census Tract 27.01, Bronx County, New York",Census Tract 27.01,Bronx County,New York,27.01,227.01,Mott Haven-Port Morris,2012,3100,22,0.007096774
"Census Tract 27.02, Bronx County, New York",Census Tract 27.02,Bronx County,New York,27.02,227.02,Mott Haven-Port Morris,2012,4703,21,0.004465235
"Census Tract 28, Bronx County, New York",Census Tract 28,Bronx County,New York,28,228,Soundview-Castle Hill-Clason Point-Harding Park,2012,5853,12,0.002050231
"Census Tract 31, Bronx County, New York",Census Tract 31,Bronx County,New York,31,231,Mott Haven-Port Morris,2012,1253,20,0.015961692
"Census Tract 33, Bronx County, New York",Census Tract 33,Bronx County,New York,33,233,Mott Haven-Port Morris,2012,3676,47,0.012785637
"Census Tract 35, Bronx County, New York",Census Tract 35,Bronx County,New York,35,235,Mott Haven-Port Morris,2012,3710,41,0.011051213
"Census Tract 37, Bronx County, New York",Census Tract 37,Bronx County,New York,37,237,Mott Haven-Port Morris,2012,225,0,0
